                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2718,                  4.514,                 1.9103,                0.80511,                0.10025,                0.10611,                0.04732,                 1.8973,                 3.0377,                 1.5489,             0.00027451,             0.00027451,             0.00027451
                      2,                 1.9741,                 3.3157,                 1.6484,                0.82271,                0.08559,                0.07047,                0.03249,                 1.9382,                 2.8227,                 1.6529,             0.00054671,             0.00054671,             0.00054671
                      3,                  1.914,                 3.0319,                 1.6292,                0.74541,                0.14147,                0.11787,                0.05233,                 1.9345,                 2.6467,                 1.6971,             0.00081341,             0.00081341,             0.00081341
                      4,                 1.9338,                 2.7867,                 1.6305,                0.63772,                0.17195,                0.13224,                0.05107,                 1.8974,                  2.639,                 1.6331,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.8784,                 2.6372,                 1.6213,                0.65963,                0.20854,                0.15641,                0.07349,                 1.8571,                 2.4265,                 1.6463,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.8417,                 2.4095,                  1.575,                0.56529,                 0.1873,                0.15203,                0.07394,                 1.7855,                 2.2657,                  1.564,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.8261,                 2.3404,                 1.5686,                0.61102,                0.18116,                 0.1797,                0.08614,                 1.8088,                 2.1261,                 1.5809,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.7969,                 2.2729,                 1.5599,                0.51619,                 0.1604,                0.17507,                0.08823,                 1.8049,                  2.171,                 1.5589,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.7693,                 2.1884,                 1.5408,                0.53101,                0.18257,                0.17889,                0.08215,                 1.7928,                 2.1571,                 1.5905,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.7612,                 2.1623,                 1.5224,                0.66703,                0.18618,                0.18497,                0.09122,                 1.7696,                 2.0787,                 1.5457,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.7609,                 2.1818,                 1.5331,                0.66024,                0.17339,                0.13873,                0.06942,                 1.7665,                 2.2507,                 1.5478,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.7229,                 2.0821,                 1.5122,                0.65088,                0.16241,                0.18233,                0.09469,                 1.7506,                 2.0489,                 1.5561,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.7205,                 2.0811,                 1.5014,                0.59786,                0.20999,                0.18721,                0.09403,                 1.7025,                 2.0234,                 1.5099,             0.00074229,             0.00074229,             0.00074229
                     14,                 1.7011,                 2.0585,                 1.4903,                0.73269,                0.20425,                0.19599,                0.09936,                 1.7346,                 2.1063,                 1.5514,             0.00073404,             0.00073404,             0.00073404
                     15,                 1.6936,                 1.9821,                 1.5004,                0.39237,                0.21795,                0.21802,                0.11593,                 1.7493,                 1.9769,                 1.5485,             0.00072579,             0.00072579,             0.00072579
                     16,                 1.7112,                   2.02,                 1.4973,                0.63528,                0.18012,                 0.1583,                0.07672,                  1.765,                 2.0047,                 1.5938,             0.00071755,             0.00071755,             0.00071755
                     17,                 1.6751,                 1.9415,                 1.4637,                0.30304,                0.26143,                0.19837,                0.09945,                 1.7495,                 2.0398,                 1.5502,              0.0007093,              0.0007093,              0.0007093
                     18,                  1.661,                 1.9028,                 1.4582,                0.69915,                0.17174,                0.18913,                0.09597,                 1.7031,                 1.9604,                 1.4973,             0.00070105,             0.00070105,             0.00070105
                     19,                 1.6341,                 1.8651,                 1.4446,                0.69327,                0.24357,                0.21209,                0.11158,                 1.7051,                 1.9927,                 1.5209,             0.00069281,             0.00069281,             0.00069281
                     20,                 1.6495,                 1.8466,                 1.4586,                0.50052,                0.21331,                 0.1807,                0.09381,                 1.7233,                 2.0142,                 1.5059,             0.00068456,             0.00068456,             0.00068456
                     21,                 1.6142,                 1.8475,                 1.4354,                 0.6926,                0.24784,                0.22192,                0.11305,                 1.6941,                 1.9467,                 1.5184,             0.00067631,             0.00067631,             0.00067631
                     22,                 1.6163,                  1.808,                 1.4301,                0.47058,                0.33894,                0.27157,                0.14541,                 1.6824,                 1.8895,                 1.4958,             0.00066807,             0.00066807,             0.00066807
                     23,                 1.6103,                 1.8204,                 1.4252,                0.55349,                0.29015,                0.23161,                0.11944,                 1.6704,                 1.9885,                 1.5074,             0.00065982,             0.00065982,             0.00065982
                     24,                 1.6048,                 1.7722,                 1.4204,                0.80297,                 0.2435,                0.27809,                0.14209,                 1.6868,                 1.8675,                 1.4824,             0.00065157,             0.00065157,             0.00065157
                     25,                 1.5943,                  1.749,                 1.4115,                0.51992,                0.28689,                0.25598,                0.14301,                 1.7005,                  1.903,                 1.5314,             0.00064333,             0.00064333,             0.00064333
                     26,                 1.5974,                 1.7263,                 1.4145,                0.43331,                 0.2331,                0.17742,                0.08904,                 1.6565,                 1.9367,                 1.4698,             0.00063508,             0.00063508,             0.00063508
                     27,                 1.5773,                 1.7295,                 1.4021,                0.40501,                0.29129,                0.25293,                0.12641,                 1.6771,                 1.8439,                 1.5364,             0.00062683,             0.00062683,             0.00062683
                     28,                 1.5803,                 1.7323,                 1.4044,                 0.5483,                0.24715,                0.26438,                0.12907,                  1.729,                 1.9284,                 1.5255,             0.00061859,             0.00061859,             0.00061859
                     29,                  1.553,                 1.6736,                 1.3934,                0.33484,                0.28879,                0.23872,                0.12535,                 1.6776,                 1.8379,                 1.4746,             0.00061034,             0.00061034,             0.00061034
                     30,                 1.5409,                 1.6513,                 1.3745,                0.47722,                0.26155,                0.23714,                0.12754,                  1.683,                 1.9129,                 1.4975,             0.00060209,             0.00060209,             0.00060209
                     31,                 1.5568,                 1.6226,                 1.3845,                0.37377,                0.31063,                 0.2436,                0.12269,                 1.6902,                 1.8739,                 1.4965,             0.00059385,             0.00059385,             0.00059385
                     32,                 1.5328,                 1.6375,                 1.3759,                 0.3671,                0.29317,                0.23711,                0.11076,                 1.7071,                 1.8835,                 1.5219,              0.0005856,              0.0005856,              0.0005856
